Station,Feature,Feature_Label,Feature_Group,MDI_Importance,MDI_Std_Across_Trees,Perm_Test_dRMSE_m,Perm_Test_Std_m,Perm_TrainVal_dRMSE_m,Perm_TrainVal_Std_m,RF_n_estimators,RF_max_features,RF_min_samples_leaf,N_TrainVal,N_Test,Perm_N_Repeats,MDI_Rank,Perm_Test_Rank
Upper Gulf Offshore,SLA_lag3,SLA (t-3),SLA history,0.026896881740226437,0.036670555026678875,0.003064147939186033,0.0008371797617527817,0.008456717672122438,0.0005602544614913686,100,0.5,1,311,60,30,7,7
Upper Gulf Offshore,SLA_lag6,SLA (t-6),SLA history,0.02433194457099663,0.05419425645217684,0.0031213623695791654,0.0009699516342612101,0.008052959651877543,0.0006421024294278725,100,0.5,1,311,60,30,8,6
Upper Gulf Offshore,SLA_lag12,SLA (t-12),SLA history,0.08261529316816545,0.15099986744878746,0.00892186454347484,0.0023098588256450477,0.0211884378255748,0.0008657671448544712,100,0.5,1,311,60,30,5,4
Upper Gulf Offshore,month_sin,month_sin,Seasonal,0.02859098040607665,0.047016041922941954,0.001546662211643611,0.001011455485516155,0.007910324492992834,0.0005100094654016572,100,0.5,1,311,60,30,6,9
Upper Gulf Offshore,month_cos,month_cos,Seasonal,0.16307753206336817,0.21742188156240227,0.03175767696569393,0.005167272646837942,0.050698588572261304,0.0022982321408675176,100,0.5,1,311,60,30,3,2
Phetchaburi Bangkawe,SLA_hist,SLA (t),SLA history,0.10891117757641393,0.1343945380728356,0.012511800807319456,0.0028794073200053946,0.03198015916901208,0.0011374289737774259,200,0.5,1,311,60,30,4,3
Phetchaburi Bangkawe,SST,SST (t),ERA5 forcing,0.022696675130081865,0.02619807480704254,-0.000676620360377149,0.0013309059192231644,0.010254737962491656,0.000854254888624168,200,0.5,1,311,60,30,9,11
Phetchaburi Bangkawe,SLP,SLP (t),ERA5 forcing,0.18002516194363077,0.25153697770122346,0.005611693107783916,0.0017417467896970566,0.0181609004295066,0.0007024761628101673,200,0.5,1,311,60,30,2,5
Phetchaburi Bangkawe,u10,u10 (t),ERA5 forcing,0.014879134610859412,0.016801769079981824,0.0006934814023887321,0.00047353297802784765,0.004627027973808525,0.00020875625296753832,200,0.5,1,311,60,30,11,9
Phetchaburi Bangkawe,v10,v10 (t),ERA5 forcing,0.34715908889337727,0.2945657777857077,0.03309102026897013,0.005513172638762975,0.05584032602039687,0.0026320187361612976,200,0.5,1,311,60,30,1,1
Phetchaburi Bangkawe,SLA_lag1,SLA (t-1),SLA history,0.017900544747614305,0.016157938828970778,0.0005018498577173886,0.0004679902227293478,0.005846981458624534,0.0003549222554952813,200,0.5,1,311,60,30,10,10
Phetchaburi Bangkawe,SLA_lag3,SLA (t-3),SLA history,0.024781228134960746,0.029381184967878823,0.0019825450055485703,0.0006499071093899481,0.0073314561342277765,0.00039317504709610604,200,0.5,1,311,60,30,8,7
Phetchaburi Bangkawe,SLA_lag6,SLA (t-6),SLA history,0.030057056870952715,0.048794058944183996,0.0022111925305479583,0.0008545400664572438,0.008948170290664453,0.0006381208840417802,200,0.5,1,311,60,30,6,6
Phetchaburi Bangkawe,SLA_lag12,SLA (t-12),SLA history,0.07672630463988091,0.1269838646395022,0.007923580715379245,0.0019212635054210911,0.020716950007238787,0.0010201510001619915,200,0.5,1,311,60,30,5,4
Phetchaburi Bangkawe,month_sin,month_sin,Seasonal,0.028392448269613083,0.048527380700481716,0.0016398108996747093,0.0007145140087021988,0.005962964654181521,0.0003805831089977274,200,0.5,1,311,60,30,7,8
Phetchaburi Bangkawe,month_cos,month_cos,Seasonal,0.14847117918261502,0.21384996509265972,0.020893484582058218,0.0037541523605443623,0.03589842192828719,0.0017358814371703,200,0.5,1,311,60,30,3,2
